local_name,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,,,,,,,,,,,,,,,,,,Other Notes,Last Update
DLC Warmups,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0621
Smash Club,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0621
Valquiria Beer House,GGST,Tekken,DBFZ,MK1,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,2024.0122
Stick Addiction,SF6,GGXXACR,KOFXV,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Storm the Castle,SSBU,GGST,MK1,SF6,Skullgirls,Tekken,Brawlhalla,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Wicko Weekly,SF6,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
York Street Battles,GGST,MK1,SF6,Tekken,UNI,VF5,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Ranking Battle,UNI,SF6,GBVSR,DBFZ,KOFXV,SSBM,MBTL,SSBU,MK1,Others,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Filthy,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Friday Night Smash,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Smash by the Books,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,Calendar here,2024.0118
Cheese League FGC Monthly,Various,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Sunday,2024.0118
Cheese League FGC Weekly,Various,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Cheese League SSBU Monthly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd Sunday,2024.0118
Cheese League SSBU Weekly,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
TFC Locals,SSBU,SSBM,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
CCH,GGST,UNI,GGXrd,GGXXACR,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,2nd Saturday; BYOC,2024.0129
CCH,GGST,UNI,GGXrd,GGXXACR,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,4th Saturday; BYOC,2024.0129
RMIT Game Day,SSBU,Tekken,GGST,SF6,MK1,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Drive Theory,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Perth Iron King Arena Monthlies,MK1,SF6,KOFXV,UNI,GGST,DBFZ,Tekken,,,,,,,,,,,,,,,,,,,,,,2024.0118
Perth Iron King Arena Weekly,MK1,SF6,KOFXV,UNI,GGST,DBFZ,Tekken,,,,,,,,,,,,,,,,,,,,,,2024.0118
Enigma Events,SSBU,P+,Rivals,NASB2,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
VirtualDojo Monthly Brackets,GBVSR,SF6,BBCF,UNI,GGST,MBTL,GGXXACR,Tekken,,,,,,,,,,,,,,,,,,,,,2024.0118
VirtualDojo Monthly Casuals,GBVSR,SF6,BBCF,UNI,GGST,MBTL,GGXXACR,Tekken,,,,,,,,,,,,,,,,,,,,,2024.0118
Belarus Clash,GGST,SF6,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Smash Games,SSBU,SSBM,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Smash Fellas,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Brolha Game Store,SSBU,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Semanal Ultra Arcade,GGST,SSBU,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Recife Dash,GBVSR,UNI,GGXXACR,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Confra Smash,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
SmashRS,SSBU,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Blame The Beasts,SF6,GGST,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Bar Fights,SF6,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Crossplay Cafe,MK1,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0402
FGCC Monthly,SF6,GGST,BBCF,UNI,Tekken,MK1,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Overdrive Lethbridge FGC,GBVSR,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
RDFGC Weekly,SF6,GGXrd,GBVSR,BBCF,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
OKSL,GGST,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Night @ Game Quest,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
